collection,rule,stock_enabled,selection,family,reason,planned_behavior,existing_composite,validation_status,condition
falco_rules.yaml,Create Symlink Over Sensitive Files,True,selected,File links,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Create and remove a symbolic link to a designated sensitive path.,symlink_sensitive,Existing implementation and historical pilot claim; exact-rule qualification pending,create_symlink and (evt.arg.target in (sensitive_file_names) or evt.arg.target in (sensitive_directory_names))
falco_rules.yaml,Create Hardlink Over Sensitive Files,True,selected,File links,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Create and remove a hard link to a fixture at a sensitive path; same filesystem and controlled ownership.,,New target; not execution-validated,create_hardlink and (evt.arg.oldpath in (sensitive_file_names))
falco_rules.yaml,Packet socket created in container,True,selected,Network,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Create and close an AF_PACKET socket without capturing traffic; fixed CAP_NET_RAW configuration.,,New target; not execution-validated,evt.type=socket and container and evt.arg.domain contains AF_PACKET and not proc.name in (user_known_packet_socket_binaries)
falco_rules.yaml,Redirect STDOUT/STDIN to Network Connection in Container,True,selected,Process / network,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Execute equivalent loopback reverse-shell behavior; verify command exchange and shell completion.,reverse_shell,Existing implementation and historical pilot claim; exact-rule qualification pending,"dup and container and evt.rawres in (0, 1, 2) and fd.type in (""ipv4"", ""ipv6"") and not user_known_stand_streams_redirect_activities"
falco_rules.yaml,Linux Kernel Module Injection Detected,True,excluded,,Requires privileged kernel module loading; outside the bounded userspace runtime comparison.,,,Not selected,kernel_module_load and container and thread.cap_effective icontains sys_module and not container.image.repository in (allowed_container_images_loading_kernel_module)
falco_rules.yaml,Debugfs Launched in Privileged Container,True,excluded,,Matches named debugfs utility in privileged-container context.,,,Not selected,spawned_process and container and container.privileged=true and proc.name=debugfs
falco_rules.yaml,Detect release_agent File Container Escapes,True,excluded,,Requires privileged cgroup/container-escape context beyond the defined lab behavior scope.,,,Not selected,open_write and container and fd.name endswith release_agent and (user.uid=0 or thread.cap_effective contains CAP_DAC_OVERRIDE) and thread.cap_effective contains CAP_SYS_ADMIN
falco_rules.yaml,PTRACE attached to process,True,selected,Process inspection,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Attach to and detach from a cooperating lab child; no injection; fixed ptrace permissions.,,New target; not execution-validated,ptrace_attach_or_injection and proc_name_exists and not known_ptrace_procs
falco_rules.yaml,PTRACE anti-debug attempt,True,selected,Process inspection,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Execute PTRACE_TRACEME and verify its outcome and clean process completion.,ptrace_antidebug,Existing implementation and historical pilot claim; exact-rule qualification pending,evt.type=ptrace and evt.arg.request contains PTRACE_TRACEME and proc_name_exists
falco_rules.yaml,Find AWS Credentials,True,excluded,,Matches grep/find commands and credential-search arguments rather than native file discovery.,,,Not selected,"spawned_process and ((grep_commands and private_aws_credentials) or (proc.name = ""find"" and proc.args endswith "".aws/credentials""))"
falco_rules.yaml,Execution from /dev/shm,True,selected,Execution,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Execute a fixed benign helper from an executable /dev/shm fixture mount; no shell-command substitution for native launch.,,New target; not execution-validated,"spawned_process and (proc.exe startswith ""/dev/shm/"" or (proc.cwd startswith ""/dev/shm/"" and proc.exe startswith ""./"" ) or (shell_procs and proc.args startswith ""-c /dev/shm"") or (shell_procs and proc.args startswith ""-i /dev/shm"") or (shell_procs and proc.args startswith ""/dev/shm"") or (proc.cwd startswith ""/dev/shm/"" and proc.args startswith ""./"" )) and not container.image.repository in (falco_privileged_images, trusted_images)"
falco_rules.yaml,Drop and execute new binary in container,True,selected,Execution,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Copy and execute a fixed benign helper in the container writable layer; verify upper-layer metadata.,,New target; not execution-validated,spawned_process and container and proc.is_exe_upper_layer=true and not container.image.repository in (known_drop_and_execute_containers) and not known_drop_and_execute_activities
falco_rules.yaml,Disallowed SSH Connection Non Standard Port,True,excluded,,Requires an ssh-named executable and SSH-specific policy; external-client/signature comparison.,,,Not selected,outbound and proc.exe endswith ssh and fd.l4proto=tcp and ssh_non_standard_ports_network
falco_rules.yaml,Fileless execution via memfd_create,True,selected,Execution,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Load a fixed benign helper into a memfd and execute it; verify helper result.,,New target; not execution-validated,spawned_process and proc.is_exe_from_memfd=true and not known_memfd_execution_processes
falco-incubating_rules.yaml,Modify Shell Configuration File,True,selected,Persistence-related file activity,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Write and restore a designated shell-configuration fixture; do not execute its contents.,,New target; not execution-validated,open_write and (fd.filename in (shell_config_filenames) or fd.name in (shell_config_files) or fd.directory in (shell_config_directories)) and not proc.name in (shell_binaries) and not exe_running_docker_save and not user_known_shell_config_modifiers
falco-incubating_rules.yaml,Schedule Cron Jobs,True,selected,Persistence-related file activity,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Write and remove a cron-directory fixture; no active scheduler or job execution.,,New target; not execution-validated,"((open_write and fd.name startswith /etc/cron) or (spawned_process and proc.name = ""crontab"")) and not user_known_cron_jobs"
falco-incubating_rules.yaml,Read ssh information,True,selected,File access,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Read a designated SSH-directory fixture containing synthetic data.,,New target; not execution-validated,(open_read or open_directory) and (user_ssh_directory or fd.name startswith /root/.ssh) and not user_known_read_ssh_information_activities and not proc.name in (ssh_binaries)
falco-incubating_rules.yaml,DB program spawned process,True,excluded,,Requires database-server parent identity; no database workload in the comparison matrix.,,,Not selected,spawned_process and proc.pname in (db_server_binaries) and not proc.name in (db_server_binaries) and not postgres_running_wal_e and not user_known_db_spawned_processes
falco-incubating_rules.yaml,Change thread namespace,True,excluded,,Requires namespace switching and additional privileges/context; defer privileged isolation-state changes.,,,Not selected,"evt.type=setns and proc_name_exists and not (container.id=host and proc.name in (docker_binaries, k8s_binaries, lxd_binaries, nsenter)) and not proc.name in (sysdigcloud_binaries, sysdig, calico, oci-umount, cilium-cni, network_plugin_binaries) and not proc.name in (user_known_change_thread_namespace_binaries) and not proc.name startswith ""runc"" and not proc.cmdline startswith ""containerd"" and not proc.pname in (sysdigcloud_binaries, hyperkube, kubelet, protokube, dockerd, tini, aws) and not java_running_sdjagent and not kubelet_running_loopback and not rancher_agent and not rancher_network_manager and not calico_node and not weaveworks_scope and not user_known_change_thread_namespace_activities"
falco-incubating_rules.yaml,Change namespace privileges via unshare,True,excluded,,Requires namespace privilege configuration beyond the fixed ordinary process environment; defer isolation-state changes.,,,Not selected,evt.type=unshare and container and not thread.cap_permitted contains CAP_SYS_ADMIN
falco-incubating_rules.yaml,Launch Privileged Container,True,excluded,,"Detects container deployment configuration, not actions performed by the varying native program.",,,Not selected,container_started and container.privileged=true and not falco_privileged_containers and not user_privileged_containers and not redhat_image
falco-incubating_rules.yaml,Launch Excessively Capable Container,True,excluded,,Detects container capability configuration supplied by the harness.,,,Not selected,container_started and excessively_capable_container and not falco_privileged_containers and not user_privileged_containers
falco-incubating_rules.yaml,System procs network activity,True,excluded,,Requires named system or shell processes performing networking; application-identity-specific.,,,Not selected,inbound_outbound and fd.sockfamily = ip and (system_procs or proc.name in (shell_binaries)) and not proc.name in (known_system_procs_network_activity_binaries) and not login_doing_dns_lookup and not user_expected_system_procs_network_activity_conditions
falco-incubating_rules.yaml,Program run with disallowed http proxy env,True,excluded,,Requires specified application identities and HTTP_PROXY strings; application/environment signature.,,,Not selected,spawned_process and http_proxy_procs and proc.env icontains HTTP_PROXY and not allowed_ssh_proxy_env
falco-incubating_rules.yaml,Unexpected UDP Traffic,True,selected,Network,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Exchange UDP data on a port outside the supplied expected-port list using an isolated lab address satisfying the stock network predicates.,,New target; not execution-validated,inbound_outbound and fd.l4proto=udp and not expected_udp_traffic
falco-incubating_rules.yaml,Non sudo setuid,True,excluded,,Requires a non-root identity and privilege-transition setup beyond the proposed simple permission-bit fixture.,,,Not selected,"evt.type=setuid and (known_user_in_container or not container) and not (user.name=root or user.uid=0) and not somebody_becoming_themselves and not proc.name in (known_setuid_binaries, userexec_binaries, mail_binaries, docker_binaries, nomachine_binaries) and not proc.name startswith ""runc:"" and not java_running_sdjagent and not nrpe_becoming_nagios and not user_known_non_sudo_setuid_conditions"
falco-incubating_rules.yaml,User mgmt binaries,True,excluded,,"Host-only named account-management utilities, not equivalent native behaviors in the container experiment.",,,Not selected,"spawned_process and not container and proc.name in (user_mgmt_binaries) and not proc.name in (su, sudo, lastlog, nologin, unix_chkpwd) and not proc.pname in (cron_binaries, systemd, systemd.postins, udev.postinst, run-parts) and not proc.cmdline startswith ""passwd -S"" and not proc.cmdline startswith ""useradd -D"" and not proc.cmdline startswith ""systemd --version"" and not run_by_qualys and not run_by_sumologic_securefiles and not run_by_yum and not run_by_ms_oms and not run_by_google_accounts_daemon and not chage_list and not user_known_user_management_activities"
falco-incubating_rules.yaml,Create files below dev,True,selected,File creation,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Create and remove a regular test file directly under the disposable container /dev.,,New target; not execution-validated,"(evt.type = creat or (evt.type in (open,openat,openat2))) and evt.arg.flags contains O_CREAT and fd.directory = /dev and not proc.name in (dev_creation_binaries) and not fd.name in (allowed_dev_files) and not fd.name startswith /dev/tty and not user_known_create_files_below_dev_activities"
falco-incubating_rules.yaml,Contact EC2 Instance Metadata Service From Container,True,selected,Network,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Connect to a lab-only emulator at 169.254.169.254; no connection to real instance metadata.,imds,Existing implementation and historical pilot claim; exact-rule qualification pending,"outbound and container and fd.sip=""169.254.169.254"" and not ec2_metadata_containers"
falco-incubating_rules.yaml,Contact cloud metadata service from container,True,selected,Network,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Same isolated metadata-connection case; score this distinct overlapping rule separately.,,New target; not execution-validated,"outbound and container and fd.sip=""169.254.169.254"" and not user_known_metadata_access"
falco-incubating_rules.yaml,Launch Package Management Process in Container,True,excluded,,Matches names of package-management utilities.,,,Not selected,"spawned_process and container and user.name != ""_apt"" and package_mgmt_procs and not package_mgmt_ancestor_procs and not user_known_package_manager_in_container and not pkg_mgmt_in_kube_proxy"
falco-incubating_rules.yaml,Launch Suspicious Network Tool in Container,True,excluded,,Matches names of external network tools.,,,Not selected,spawned_process and container and network_tool_procs and not user_known_network_tool_activities
falco-incubating_rules.yaml,Launch Suspicious Network Tool on Host,True,excluded,,Host-only named network tools; outside constant-container experiment.,,,Not selected,spawned_process and not container and network_tool_procs and not user_known_network_tool_activities
falco-incubating_rules.yaml,Delete or rename shell history,True,selected,File modification,Native bounded behavior compatible with the proposed controlled Linux container experiment.,"Delete, rename, or truncate a synthetic shell-history fixture; predeclare which operation is tested.",,New target; not execution-validated,(modify_shell_history or truncate_shell_history) and not var_lib_docker_filepath and not proc.name in (docker_binaries)
falco-incubating_rules.yaml,Set Setuid or Setgid bit,True,selected,Permissions,Native bounded behavior compatible with the proposed controlled Linux container experiment.,"Set and verify mode bits on a non-executed lab file, then restore/delete it.",,New target; not execution-validated,"chmod and (evt.arg.mode contains ""S_ISUID"" or evt.arg.mode contains ""S_ISGID"") and not proc.name in (user_known_chmod_applications) and not exe_running_docker_save and not user_known_set_setuid_or_setgid_bit_conditions"
falco-incubating_rules.yaml,Launch Remote File Copy Tools in Container,True,excluded,,Matches named external transfer utilities.,,,Not selected,spawned_process and container and remote_file_copy_procs and not user_known_remote_file_copy_activities
falco-incubating_rules.yaml,Network Connection outside Local Subnet,True,excluded,,Requires Kubernetes namespace policy and site-specific subnet configuration.,,,Not selected,inbound_outbound and container and k8s.ns.name in (namespace_scope_network_only_subnet) and not network_local_subnet
falco-incubating_rules.yaml,Mount Launched in Privileged Container,True,excluded,,Matches the mount utility in privileged-container context.,,,Not selected,spawned_process and container and container.privileged=true and proc.name=mount and not mount_info and not known_gke_mount_in_privileged_containers and not known_aks_mount_in_privileged_containers and not known_eks_mount_in_privileged_containers and not user_known_mount_in_privileged_containers
falco-incubating_rules.yaml,Launch Ingress Remote File Copy Tools in Container,True,excluded,,Matches named external transfer utilities and command arguments.,,,Not selected,spawned_process and container and (ingress_remote_file_copy_procs or curl_download) and not user_known_ingress_remote_file_copy_activities
falco-incubating_rules.yaml,Read environment variable from /proc files,True,selected,File access,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Read a cooperating lab process environment containing synthetic values through /proc.,,New target; not execution-validated,open_read and container and (fd.name glob /proc/*/environ) and not proc.name in (known_binaries_to_read_environment_variables_from_proc_files)
falco-incubating_rules.yaml,Exfiltrating Artifacts via Kubernetes Control Plane,True,excluded,,Requires tar/container-entrypoint context associated with kubectl copy; external tool/orchestration behavior.,,,Not selected,open_read and container and proc.name=tar and container_entrypoint and proc.tty=0 and not system_level_side_effect_artifacts_kubectl_cp
falco-incubating_rules.yaml,Adding ssh keys to authorized_keys,True,selected,Persistence-related file activity,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Write and remove a synthetic authorized_keys fixture without enabling SSH access.,,New target; not execution-validated,open_write and (user_ssh_directory or fd.name startswith /root/.ssh) and fd.name endswith authorized_keys and not proc.name in (ssh_binaries)
falco-incubating_rules.yaml,Potential Local Privilege Escalation via Environment Variables Misuse,True,excluded,,Matches a specific glibc-related environment signature rather than a behavior portable across all compared runtimes.,,,Not selected,spawned_process and glibc_tunables_env
falco-incubating_rules.yaml,Backdoored library loaded into SSHD (CVE-2024-3094),True,excluded,,Specific sshd/library-version signature; absent application/vulnerability scenario.,,,Not selected,"open_read and proc.name=sshd and (fd.name contains ""liblzma.so.5.6.0"" or fd.name contains ""liblzma.so.5.6.1"")"
falco-incubating_rules.yaml,BPF Program Not Profiled,True,excluded,,Requires kernel-program loading; also identifies collector/harness activity; outside userspace behavior population.,,,Not selected,evt.type=bpf and (evt.arg.cmd=5 or evt.arg.cmd=BPF_PROG_LOAD) and not bpf_profiled_procs
falco-sandbox_rules.yaml,Unexpected inbound connection source,False,excluded,,Disabled in upstream snapshot; preserve stock enablement policy for this scope.,,,Not selected,inbound and not ((fd.cip in (allowed_inbound_source_ipaddrs)) or (fd.cnet in (allowed_inbound_source_networks)) or (fd.cip.name in (allowed_inbound_source_domains)))
falco-sandbox_rules.yaml,Read Shell Configuration File,False,excluded,,Disabled in upstream snapshot; preserve stock enablement policy for this scope.,,,Not selected,open_read and (fd.filename in (shell_config_filenames) or fd.name in (shell_config_files) or fd.directory in (shell_config_directories)) and not proc.name in (shell_binaries)
falco-sandbox_rules.yaml,Update Package Repository,True,selected,File modification,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Write and remove a controlled Debian package-source fixture; do not run package updates.,,New target; not execution-validated,((open_write and access_repositories) or (modify and modify_repositories)) and not package_mgmt_procs and not package_mgmt_ancestor_procs and not exe_running_docker_save and not user_known_update_package_registry
falco-sandbox_rules.yaml,Write below binary dir,True,selected,File modification,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Write and remove a non-executed fixture in a system binary directory.,,New target; not execution-validated,open_write and bin_dir and not package_mgmt_procs and not exe_running_docker_save and not python_running_get_pip and not python_running_ms_oms and not user_known_write_below_binary_dir_activities
falco-sandbox_rules.yaml,Write below monitored dir,True,selected,File modification,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Write and remove a fixture in a path selected from the unchanged monitored-directory list.,,New target; not execution-validated,open_write and monitored_dir and not package_mgmt_procs and not coreos_write_ssh_dir and not exe_running_docker_save and not python_running_get_pip and not python_running_ms_oms and not google_accounts_daemon_writing_ssh and not cloud_init_writing_ssh and not user_known_write_monitored_dir_conditions
falco-sandbox_rules.yaml,Write below etc,True,selected,File modification,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Write and remove a fixture under /etc outside stock exclusion paths.,,New target; not execution-validated,write_etc_common
falco-sandbox_rules.yaml,Write below root,True,selected,File modification,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Write and remove a fixture under /root outside stock exclusions.,,New target; not execution-validated,open_write and root_dir and proc_name_exists and not fd.name in (known_root_files) and not fd.directory pmatch (known_root_directories) and not exe_running_docker_save and not gugent_writing_guestagent_log and not dse_writing_tmp and not zap_writing_state and not airflow_writing_state and not rpm_writing_root_rpmdb and not maven_writing_groovy and not chef_writing_conf and not kubectl_writing_state and not cassandra_writing_state and not galley_writing_state and not calico_writing_state and not rancher_writing_root and not runc_writing_exec_fifo and not mysqlsh_writing_state and not known_root_conditions and not user_known_write_root_conditions and not user_known_write_below_root_activities
falco-sandbox_rules.yaml,Write below rpm database,True,excluded,,RPM database is not part of the Debian lab workload; would require an additional package-management context.,,,Not selected,open_write and fd.name startswith /var/lib/rpm and not rpm_procs and not ansible_running_python and not python_running_chef and not exe_running_docker_save and not amazon_linux_running_python_yum and not user_known_write_rpm_database_activities
falco-sandbox_rules.yaml,Modify binary dirs,True,selected,File modification,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Rename or remove a fixture within a system binary directory.,,New target; not execution-validated,modify and bin_dir_rename and not package_mgmt_procs and not exe_running_docker_save and not user_known_modify_bin_dir_activities
falco-sandbox_rules.yaml,Mkdir binary dirs,True,selected,File creation,Native bounded behavior compatible with the proposed controlled Linux container experiment.,Create and remove an empty directory under a system binary path.,mkdir_bin,Existing implementation and historical pilot claim; exact-rule qualification pending,mkdir and bin_dir_mkdir and not package_mgmt_procs and not user_known_mkdir_bin_dir_activities and not exe_running_docker_save
falco-sandbox_rules.yaml,Launch Sensitive Mount Container,True,excluded,,Detects harness mount configuration rather than the test program behavior.,,,Not selected,container_started and sensitive_mount and not falco_sensitive_mount_containers and not user_sensitive_mount_containers
falco-sandbox_rules.yaml,Launch Disallowed Container,True,excluded,,Detects deployment/image policy and may require site-specific configuration.,,,Not selected,container_started and not allowed_containers
falco-sandbox_rules.yaml,Interpreted procs inbound network activity,False,excluded,,Disabled in upstream snapshot; preserve stock enablement policy for this scope.,,,Not selected,inbound and interpreted_procs
falco-sandbox_rules.yaml,Interpreted procs outbound network activity,False,excluded,,Disabled in upstream snapshot; preserve stock enablement policy for this scope.,,,Not selected,outbound and interpreted_procs
falco-sandbox_rules.yaml,Unexpected K8s NodePort Connection,False,excluded,,Disabled in upstream snapshot; preserve stock enablement policy for this scope.,,,Not selected,inbound_outbound and container and fd.sport >= 30000 and fd.sport <= 32767 and not nodeport_containers
falco-sandbox_rules.yaml,Create Hidden Files or Directories,False,excluded,,Disabled in upstream snapshot; preserve stock enablement policy for this scope.,,,Not selected,"((modify and evt.arg.newpath contains ""/."") or (mkdir and evt.arg.path contains ""/."") or (open_write and evt.arg.flags contains ""O_CREAT"" and fd.name contains ""/."" and not fd.name pmatch (exclude_hidden_directories))) and not user_known_create_hidden_file_activities and not exe_running_docker_save"
falco-sandbox_rules.yaml,Detect outbound connections to common miner pool ports,False,excluded,,Disabled in upstream snapshot; preserve stock enablement policy for this scope.,,,Not selected,net_miner_pool and not trusted_images_query_miner_domain_dns
falco-sandbox_rules.yaml,Detect crypto miners using the Stratum protocol,True,excluded,,"Matches command-line strings, not native implementation of a bounded protocol exchange.",,,Not selected,"spawned_process and (proc.cmdline contains ""stratum+tcp"" or proc.cmdline contains ""stratum2+tcp"" or proc.cmdline contains ""stratum+ssl"" or proc.cmdline contains ""stratum2+ssl"")"
falco-sandbox_rules.yaml,Kubernetes Client Tool Launched in Container,True,excluded,,Requires named Kubernetes client utilities.,,,Not selected,spawned_process and container and not user_known_k8s_client_container_parens and proc.name in (k8s_client_binaries)
falco-sandbox_rules.yaml,Container Drift Detected (chmod),False,excluded,,Disabled in upstream snapshot; preserve stock enablement policy for this scope.,,,Not selected,"chmod and container and evt.rawres>=0 and ((evt.arg.mode contains ""S_IXUSR"") or (evt.arg.mode contains ""S_IXGRP"") or (evt.arg.mode contains ""S_IXOTH"")) and not runc_writing_exec_fifo and not runc_writing_var_lib_docker and not user_known_container_drift_activities"
falco-sandbox_rules.yaml,Container Drift Detected (open+create),False,excluded,,Disabled in upstream snapshot; preserve stock enablement policy for this scope.,,,Not selected,"evt.type in (open,openat,openat2,creat) and evt.rawres>=0 and evt.is_open_exec=true and container and not runc_writing_exec_fifo and not runc_writing_var_lib_docker and not user_known_container_drift_activities"
falco-sandbox_rules.yaml,Container Run as Root User,False,excluded,,Disabled in upstream snapshot; preserve stock enablement policy for this scope.,,,Not selected,spawned_process and container and proc.vpid=1 and user.uid=0 and not user_known_run_as_root_container
falco-sandbox_rules.yaml,Sudo Potential Privilege Escalation,True,excluded,,Specific sudo/sudoedit command and argument signature.,,,Not selected,"spawned_process and user.loginuid != 0 and (proc.name=sudoedit or proc.name = sudo) and (proc.args contains -s or proc.args contains -i or proc.args contains --login) and (proc.args contains ""\ "" or proc.args endswith \)"
falco-sandbox_rules.yaml,Unprivileged Delegation of Page Faults Handling to a Userspace Process,True,excluded,,Requires userfaultfd availability and unprivileged-kernel policy changes; defer specialized memory-fault infrastructure.,,,Not selected,evt.type = userfaultfd and user.uid != 0 and (evt.rawres >= 0 or evt.res != -1) and not proc.name in (user_known_userfaultfd_processes)
falco-sandbox_rules.yaml,Polkit Local Privilege Escalation Vulnerability (CVE-2021-4034),True,excluded,,Specific pkexec command/argument signature and application context.,,,Not selected,spawned_process and user.loginuid != 0 and proc.name=pkexec and proc.args = ''
falco-sandbox_rules.yaml,Java Process Class File Download,False,excluded,,Disabled in upstream snapshot; preserve stock enablement policy for this scope.,,,Not selected,java_network_read and evt.buffer bcontains cafebabe
falco-sandbox_rules.yaml,Modify Container Entrypoint,False,excluded,,Disabled in upstream snapshot; preserve stock enablement policy for this scope.,,,Not selected,"open_write and container and (fd.name=/proc/self/exe or fd.name startswith /proc/self/fd/) and not docker_procs and not proc.cmdline = ""runc:[1:CHILD] init"""
falco-sandbox_rules.yaml,Decoding Payload in Container,True,excluded,,Matches named base64 utility/arguments; native library decoding would not meet the same predicate.,,,Not selected,spawned_process and container and base64_decoding and not container.image.repository in (known_decode_payload_containers)
falco-sandbox_rules.yaml,Basic Interactive Reconnaissance,True,excluded,,Matches named reconnaissance utilities and interactive terminal/process-group context.,,,Not selected,spawned_process and recon_binaries_procs and proc.tty != 0 and proc.is_vpgid_leader=true
falco-sandbox_rules.yaml,Netcat/Socat Remote Code Execution on Host,True,excluded,,Host-only named nc/ncat/socat commands and arguments.,,,Not selected,"spawned_process and not container and ((proc.name = ""nc"" and (proc.cmdline contains ""-e"" or proc.cmdline contains ""-c"")) or (proc.name = ""ncat"" and (proc.args contains ""--sh-exec"" or proc.args contains ""--exec"" or proc.args contains ""-e "" or proc.args contains ""-c "" or proc.args contains ""--lua-exec"")) or (proc.name = 'socat' and (proc.args contains ""EXEC"" or proc.args contains ""SYSTEM"")))"
falco-sandbox_rules.yaml,Network Tool Executed During NPM Package Install,True,excluded,,Requires npm ancestry and named network tools.,,,Not selected,spawned_process and container and network_tool_procs and npm_package_install_ancestor and not user_known_network_tool_in_npm_install_activities
falco-sandbox_rules.yaml,Known Cryptominer Process Executed,True,excluded,,"Matches known miner process names, not runtime-dependent implementation of equivalent behavior.",,,Not selected,spawned_process and is_miner_process
